Version	Grade	Origin Text	Component	Edited	id	Sub Genre	Genre
13	ULTIMATE Collector's Edition		SESSION GUITARIST - PICKED ACOUSTIC	TRUE	151	アコースティック&エレクトリックギター	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		SCARBEE FUNK GUITARIST	TRUE	140	アコースティック&エレクトリックギター	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		SCARBEE RICKENBACKER BASS	TRUE	147	エレクトリックベース	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		SCARBEE MM BASS	TRUE	143	エレクトリックベース	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		SCARBEE PRE-BASS	TRUE	145	エレクトリックベース	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		SCARBEE PRE-BASS AMPED	TRUE	146	エレクトリックベース	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		SCARBEE JAY-BASS	TRUE	141	エレクトリックベース	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		SCARBEE MM-BASS AMPED	TRUE	144	エレクトリックベース	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		SESSION STRINGS PRO 2	TRUE	157	コンテンポラリーストリング&ホーン	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		SESSION HORNS PRO	TRUE	155	コンテンポラリーストリング&ホーン	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		SYMPHONY SERIES - PERCUSSION	TRUE	184	クラシカルインストゥルメント	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		SYMPHONY SERIES - WOODWIND SOLO	TRUE	186	クラシカルインストゥルメント	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		SYMPHONY SERIES - WOODWIND ENSEMBLE	TRUE	185	クラシカルインストゥルメント	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		SYMPHONY SERIES - BRASS SOLO	TRUE	182	クラシカルインストゥルメント	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		SYMPHONY SERIES - BRASS ENSEMBLE	TRUE	181	クラシカルインストゥルメント	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		SYMPHONY SERIES - STRING ENSEMBLE	TRUE	183	クラシカルインストゥルメント	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		STRADIVARI VIOLIN	TRUE	168	クラシカルインストゥルメント	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		AMATI VIOLA	TRUE	11	クラシカルインストゥルメント	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		GUARNERI VIOLIN	TRUE	61	クラシカルインストゥルメント	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		STRADIVARI CELLO	TRUE	167	クラシカルインストゥルメント	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		KINETIC METAL	TRUE	73	シネマティック	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		STRAYLIGHT	TRUE	169	シネマティック	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		PHARLIGHT	TRUE	113	シネマティック	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		THRILL	TRUE	193	シネマティック	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		MYSTERIA	TRUE	107	シネマティック	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		KINETIC TOYS	TRUE	74	シネマティック	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		EMOTIVE STRINGS	TRUE	47	シネマティック	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		DAMAGE	TRUE	38	シネマティック	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		ACTION STRIKES	TRUE	8	シネマティック	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		RISE & HIT	TRUE	134	シネマティック	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		ACTION STRINGS	TRUE	9	シネマティック	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		EVOLVE	TRUE	50	シネマティック	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		EVOLVE MUTATIONS	TRUE	51	シネマティック	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		EVOLVE MUTATIONS 2	TRUE	52	シネマティック	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		MALLET FLUX	TRUE	89	シネマティック	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		ARKHIS	TRUE	17	シネマティック	サンプルインストゥルメント
13	ULTIMATE Collector's Edition		SOLID BUS COMP	TRUE	161	スタジオエフェクト	エフェクト
13	ULTIMATE Collector's Edition		SOLID EQ	TRUE	163	スタジオエフェクト	エフェクト
13	ULTIMATE Collector's Edition		SOLID DYNAMICS	TRUE	162	スタジオエフェクト	エフェクト
13	ULTIMATE Collector's Edition		SUPERCHARGER GT	TRUE	174	スタジオエフェクト	エフェクト
13	ULTIMATE Collector's Edition		TRANSIENT MASTER	TRUE	195	スタジオエフェクト	エフェクト
13	ULTIMATE Collector's Edition		VARI COMP	TRUE	200	スタジオエフェクト	エフェクト
13	ULTIMATE Collector's Edition		ENHANCED EQ	TRUE	48	スタジオエフェクト	エフェクト
13	ULTIMATE Collector's Edition		PASSIVE EQ	TRUE	112	スタジオエフェクト	エフェクト
13	ULTIMATE Collector's Edition		VC 76	TRUE	203	スタジオエフェクト	エフェクト
13	ULTIMATE Collector's Edition		VC 2A	TRUE	202	スタジオエフェクト	エフェクト
13	ULTIMATE Collector's Edition		VC 160	TRUE	201	スタジオエフェクト	エフェクト
13	ULTIMATE Collector's Edition		RAUM	TRUE	122	クリエイティブエフェクト	エフェクト
13	ULTIMATE Collector's Edition		REPLIKA XT	TRUE	132	クリエイティブエフェクト	エフェクト
13	ULTIMATE Collector's Edition		MOD PACK - PHASIS	TRUE	100	クリエイティブエフェクト	エフェクト
13	ULTIMATE Collector's Edition		MOD PACK - CHORAL	TRUE	98	クリエイティブエフェクト	エフェクト
13	ULTIMATE Collector's Edition		MOD PACK - FLAIR	TRUE	99	クリエイティブエフェクト	エフェクト
13	ULTIMATE Collector's Edition		CRUSH PACK - DIRT	TRUE	35	クリエイティブエフェクト	エフェクト
13	ULTIMATE Collector's Edition		CRUSH PACK - FREAK	TRUE	36	クリエイティブエフェクト	エフェクト
13	ULTIMATE Collector's Edition		CRUSH PACK - BITE	TRUE	34	クリエイティブエフェクト	エフェクト
13	ULTIMATE Collector's Edition		GUITAR RIG 6 PRO	TRUE	63	クリエイティブエフェクト	エフェクト
13	ULTIMATE Collector's Edition		DRIVER	TRUE	43	クリエイティブエフェクト	エフェクト
13	ULTIMATE Collector's Edition		THE FINGER	TRUE	187	クリエイティブエフェクト	エフェクト
13	ULTIMATE Collector's Edition		THE MOUTH	TRUE	192	クリエイティブエフェクト	エフェクト
13	ULTIMATE Collector's Edition		MOLEKULAR	TRUE	103	クリエイティブエフェクト	エフェクト
13	ULTIMATE Collector's Edition		RC 48	TRUE	126	クリエイティブエフェクト	エフェクト
